pair_ID Entailment_Judgement Relatedness_score
444 NEUTRAL 4.19
445 ENTAILMENT 2.64
448 NEUTRAL 3.48
452 ENTAILMENT 3.44
453 NEUTRAL 3.94
455 ENTAILMENT 2.74
456 NEUTRAL 3.61
458 NEUTRAL 2.46
459 NEUTRAL 2.25
460 CONTRADICTION 2.46
463 CONTRADICTION 3.61
464 NEUTRAL 4.44
466 CONTRADICTION 3.61
467 ENTAILMENT 2.97
468 CONTRADICTION 2.49
469 NEUTRAL 4.17
471 NEUTRAL 3.05
472 NEUTRAL 2.78
474 CONTRADICTION 3.61
478 NEUTRAL 3.44
479 NEUTRAL 3.74
480 NEUTRAL 3.44
481 NEUTRAL 2.85
482 NEUTRAL 4.21
483 NEUTRAL 2.69
487 NEUTRAL 4.3
488 NEUTRAL 4.02
490 NEUTRAL 4.44
492 CONTRADICTION 3.55
493 ENTAILMENT 3.72
495 NEUTRAL 3.22
498 NEUTRAL 3.5
501 NEUTRAL 3.31
502 NEUTRAL 4.19
503 CONTRADICTION 4.44
504 NEUTRAL 3.03
509 NEUTRAL 3.61
510 NEUTRAL 3.61
511 NEUTRAL 3.4
512 NEUTRAL 3.56
517 NEUTRAL 3.62
518 ENTAILMENT 4.44
519 NEUTRAL 4.44
521 ENTAILMENT 3.77
523 NEUTRAL 3.62
525 NEUTRAL 3.16
532 CONTRADICTION 3.61
533 ENTAILMENT 4.08
534 NEUTRAL 3.21
536 NEUTRAL 2.3
537 ENTAILMENT 3.58
539 NEUTRAL 2.86
540 NEUTRAL 4.01
543 ENTAILMENT 4.15
544 ENTAILMENT 4.44
546 NEUTRAL 4.44
547 NEUTRAL 2.98
549 NEUTRAL 3.16
553 NEUTRAL 3.6
554 ENTAILMENT 3.96
558 NEUTRAL 4.03
559 ENTAILMENT 3.19
562 ENTAILMENT 2.05
563 ENTAILMENT 3.16
566 ENTAILMENT 3.11
567 ENTAILMENT 3.93
569 NEUTRAL 3.67
571 CONTRADICTION 3.5
572 NEUTRAL 4.12
573 NEUTRAL 3.09
574 NEUTRAL 2.46
575 NEUTRAL 3.09
576 NEUTRAL 3.21
577 NEUTRAL 2.88
578 NEUTRAL 3.15
579 NEUTRAL 3.15
580 ENTAILMENT 4.27
582 ENTAILMENT 4.44
583 NEUTRAL 4.44
584 CONTRADICTION 4.44
585 ENTAILMENT 3.05
589 NEUTRAL 4.16
590 ENTAILMENT 3.05
591 NEUTRAL 4.37
593 NEUTRAL 4.44
594 NEUTRAL 3.61
595 ENTAILMENT 3.47
596 NEUTRAL 3.36
598 NEUTRAL 3.47
600 NEUTRAL 4.44
602 CONTRADICTION 4.44
607 NEUTRAL 2.98
608 NEUTRAL 3.4
610 NEUTRAL 2.85
612 NEUTRAL 2.71
613 NEUTRAL 4.44
614 CONTRADICTION 4.44
615 NEUTRAL 4.44
616 NEUTRAL 4.44
618 ENTAILMENT 3.54
620 NEUTRAL 2.53
623 NEUTRAL 3.25
624 NEUTRAL 3.25
627 ENTAILMENT 3.94
633 NEUTRAL 2.73
635 NEUTRAL 2.54
636 NEUTRAL 2.56
639 NEUTRAL 4.44
640 NEUTRAL 3.84
642 NEUTRAL 4.34
644 ENTAILMENT 3.11
652 NEUTRAL 4.44
654 NEUTRAL 4.18
656 NEUTRAL 4.44
658 NEUTRAL 3.84
659 NEUTRAL 4.2
662 NEUTRAL 3.84
664 NEUTRAL 4.23
665 ENTAILMENT 4.44
666 NEUTRAL 4.02
667 ENTAILMENT 4.44
669 ENTAILMENT 3.16
670 NEUTRAL 2.68
673 ENTAILMENT 2.68
674 NEUTRAL 2.92
675 ENTAILMENT 2.68
677 NEUTRAL 3.95
681 NEUTRAL 4.39
682 NEUTRAL 3.38
683 CONTRADICTION 3.32
684 NEUTRAL 3.77
686 NEUTRAL 3.24
688 NEUTRAL 3.88
694 ENTAILMENT 3.98
695 ENTAILMENT 2.99
700 ENTAILMENT 2.87
701 ENTAILMENT 2.87
705 NEUTRAL 3.47
706 NEUTRAL 3.88
707 NEUTRAL 2.71
708 NEUTRAL 4.13
710 NEUTRAL 2.44
711 NEUTRAL 3.44
712 NEUTRAL 3.94
713 ENTAILMENT 4.44
714 NEUTRAL 3.81
716 ENTAILMENT 4.44
719 NEUTRAL 2.31
720 NEUTRAL 2.13
721 NEUTRAL 2.13
724 ENTAILMENT 2.09
726 NEUTRAL 4.44
739 ENTAILMENT 4.44
740 NEUTRAL 3.87
742 NEUTRAL 4.44
743 NEUTRAL 2.08
744 NEUTRAL 2.18
750 ENTAILMENT 3.69
751 NEUTRAL 3.51
753 CONTRADICTION 4.44
755 NEUTRAL 3.31
756 ENTAILMENT 3.31
758 ENTAILMENT 3.31
763 ENTAILMENT 3.6
767 NEUTRAL 2.28
770 NEUTRAL 3.19
771 NEUTRAL 2.73
773 NEUTRAL 3.7
775 ENTAILMENT 4.38
776 ENTAILMENT 3.52
778 NEUTRAL 4.35
779 NEUTRAL 4.35
781 ENTAILMENT 3.76
782 CONTRADICTION 3.56
786 NEUTRAL 3.52
787 ENTAILMENT 3.27
788 CONTRADICTION 2.79
790 ENTAILMENT 3.02
794 ENTAILMENT 4.06
795 NEUTRAL 3.39
798 NEUTRAL 3.61
800 CONTRADICTION 2.43
801 CONTRADICTION 2.93
803 NEUTRAL 2.48
805 NEUTRAL 4.02
806 NEUTRAL 4.13
807 NEUTRAL 3.57
808 NEUTRAL 4.08
809 CONTRADICTION 3.45
810 NEUTRAL 2.29
814 NEUTRAL 2.41
815 NEUTRAL 2.29
817 NEUTRAL 4.44
818 ENTAILMENT 3.9
819 CONTRADICTION 3.13
821 NEUTRAL 2.33
823 ENTAILMENT 2.37
826 NEUTRAL 2.33
828 NEUTRAL 4.44
829 ENTAILMENT 4.13
832 NEUTRAL 4.01
833 NEUTRAL 3.25
834 NEUTRAL 2.8
835 NEUTRAL 3.25
837 NEUTRAL 3.16
838 NEUTRAL 3.08
840 NEUTRAL 4.44
842 NEUTRAL 4.11
843 NEUTRAL 4.32
847 NEUTRAL 3.25
849 NEUTRAL 3.57
850 NEUTRAL 3.47
853 ENTAILMENT 4.38
854 NEUTRAL 3.59
856 ENTAILMENT 4.39
861 NEUTRAL 2.97
863 ENTAILMENT 4.38
865 CONTRADICTION 3.36
871 NEUTRAL 2.13
875 NEUTRAL 3.97
877 NEUTRAL 4.44
884 CONTRADICTION 3.26
885 ENTAILMENT 3.27
886 NEUTRAL 3.26
890 NEUTRAL 3.72
891 CONTRADICTION 2.93
894 ENTAILMENT 2.73
896 NEUTRAL 2.98
897 NEUTRAL 2.21
900 NEUTRAL 4.08
901 ENTAILMENT 3.23
903 ENTAILMENT 4.13
905 NEUTRAL 3.47
907 ENTAILMENT 3.19
911 NEUTRAL 3.6
912 ENTAILMENT 4.39
914 ENTAILMENT 4.44
916 ENTAILMENT 4.23
918 NEUTRAL 2.02
919 NEUTRAL 2.44
921 NEUTRAL 2.54
923 NEUTRAL 4.39
924 CONTRADICTION 4.44
925 NEUTRAL 3.33
926 NEUTRAL 4.44
928 NEUTRAL 4.44
929 NEUTRAL 4.44
930 NEUTRAL 3.99
934 ENTAILMENT 3.68
937 ENTAILMENT 4.44
938 ENTAILMENT 3.94
939 ENTAILMENT 3.94
941 NEUTRAL 2.39
942 NEUTRAL 3.02
946 NEUTRAL 2.39
951 NEUTRAL 3.69
952 ENTAILMENT 3.66
954 NEUTRAL 3.35
955 NEUTRAL 3.42
958 NEUTRAL 3.68
964 CONTRADICTION 3.04
965 NEUTRAL 3.94
966 NEUTRAL 2.75
968 NEUTRAL 3.52
969 NEUTRAL 2.89
971 NEUTRAL 3.48
972 NEUTRAL 2.99
974 CONTRADICTION 3.61
976 NEUTRAL 4.44
977 ENTAILMENT 3.69
981 ENTAILMENT 2.42
982 ENTAILMENT 2.92
983 CONTRADICTION 2.35
986 NEUTRAL 4.23
990 ENTAILMENT 4.21
992 NEUTRAL 3.25
993 NEUTRAL 3.25
995 ENTAILMENT 2.83
997 NEUTRAL 2.74
999 NEUTRAL 4.11
1001 ENTAILMENT 4.14
1003 NEUTRAL 2.72
1005 NEUTRAL 3.38
1006 NEUTRAL 3.08
1011 NEUTRAL 4.44
1012 NEUTRAL 2.94
1013 NEUTRAL 3.59
1014 NEUTRAL 3.62
1015 NEUTRAL 3.38
1017 NEUTRAL 3.19
1020 NEUTRAL 3.06
1023 NEUTRAL 4.07
1024 NEUTRAL 4.12
1025 NEUTRAL 4.01
1027 ENTAILMENT 3.84
1030 NEUTRAL 3.29
1032 ENTAILMENT 4.32
1034 NEUTRAL 3.14
1035 ENTAILMENT 4.44
1036 CONTRADICTION 4.44
1040 NEUTRAL 2.35
1041 NEUTRAL 2.52
1042 NEUTRAL 2.33
1051 NEUTRAL 2.75
1056 NEUTRAL 2.32
1058 NEUTRAL 4.3
1059 CONTRADICTION 4.32
1060 ENTAILMENT 3.73
1062 CONTRADICTION 3.57
1063 NEUTRAL 3.32
1066 NEUTRAL 3.19
1067 NEUTRAL 3.35
1070 ENTAILMENT 3.8
1071 NEUTRAL 4.44
1072 NEUTRAL 2.67
1073 NEUTRAL 4.07
1075 NEUTRAL 4.07
1077 NEUTRAL 3.79
1078 NEUTRAL 4.01
1079 NEUTRAL 4.44
1081 NEUTRAL 4.44
1085 ENTAILMENT 4.4
1086 ENTAILMENT 3.92
1089 NEUTRAL 3.42
1098 ENTAILMENT 4.44
1100 NEUTRAL 2.19
1101 NEUTRAL 2.38
1103 NEUTRAL 2.66
1106 ENTAILMENT 4.44
1107 CONTRADICTION 4.44
1110 CONTRADICTION 3.55
1113 NEUTRAL 2.59
1114 NEUTRAL 2.51
1116 NEUTRAL 2.74
1121 ENTAILMENT 4.28
1123 ENTAILMENT 3.74
1124 CONTRADICTION 3.58
1126 ENTAILMENT 3.82
1127 CONTRADICTION 3.61
1130 CONTRADICTION 4.44
1131 ENTAILMENT 4.44
1132 NEUTRAL 3.04
1134 NEUTRAL 3.69
1136 CONTRADICTION 3.19
1138 ENTAILMENT 3.04
1139 NEUTRAL 4.44
1140 CONTRADICTION 3.61
1141 NEUTRAL 3.75
1142 NEUTRAL 3.61
1143 NEUTRAL 2.36
1144 NEUTRAL 2.13
1146 NEUTRAL 2.39
1148 ENTAILMENT 3.56
1150 ENTAILMENT 3.58
1151 CONTRADICTION 3.61
1152 ENTAILMENT 3.48
1156 NEUTRAL 4.31
1158 ENTAILMENT 3.94
1159 NEUTRAL 4.31
1160 ENTAILMENT 4.44
1163 NEUTRAL 3.15
1164 ENTAILMENT 3.14
1166 NEUTRAL 4.44
1168 ENTAILMENT 4.44
1171 NEUTRAL 3.23
1172 NEUTRAL 3.54
1173 NEUTRAL 3.09
1174 NEUTRAL 3.54
1176 NEUTRAL 3.61
1181 NEUTRAL 2.75
1183 NEUTRAL 3.19
1185 NEUTRAL 4.44
1186 ENTAILMENT 3.96
1187 NEUTRAL 3.74
1189 NEUTRAL 4.11
1197 NEUTRAL 3.61
1198 NEUTRAL 4.44
1199 NEUTRAL 2.86
1201 NEUTRAL 3.4
1203 CONTRADICTION 2.98
1204 ENTAILMENT 3.4
1208 ENTAILMENT 4.44
1209 CONTRADICTION 3.61
1210 NEUTRAL 4.02
1211 NEUTRAL 3.41
1216 CONTRADICTION 3.61
1217 ENTAILMENT 3.77
1218 CONTRADICTION 4.31
1220 CONTRADICTION 3.35
1223 NEUTRAL 3.35
1224 NEUTRAL 4.26
1225 NEUTRAL 3.61
1226 ENTAILMENT 4.44
1229 NEUTRAL 3.35
1231 NEUTRAL 3.35
1233 ENTAILMENT 3.06
1234 CONTRADICTION 3.55
1235 NEUTRAL 4.23
1238 ENTAILMENT 3.52
1243 NEUTRAL 3.61
1245 NEUTRAL 3.61
1247 NEUTRAL 2.99
1250 ENTAILMENT 3.47
1252 CONTRADICTION 3.61
1253 ENTAILMENT 4.44
1254 NEUTRAL 3.44
1256 ENTAILMENT 2.75
1257 ENTAILMENT 2.83
1258 NEUTRAL 3.01
1260 NEUTRAL 3.81
1261 NEUTRAL 3.61
1262 ENTAILMENT 3.6
1263 CONTRADICTION 3.61
1264 ENTAILMENT 4.44
1265 NEUTRAL 2.68
1267 NEUTRAL 2.68
1269 NEUTRAL 2.65
1272 CONTRADICTION 3.61
1277 NEUTRAL 3.33
1278 NEUTRAL 3.44
1279 NEUTRAL 3.6
1281 CONTRADICTION 3.61
1285 NEUTRAL 3.6
1286 NEUTRAL 3.44
1288 CONTRADICTION 3.61
1289 NEUTRAL 4.44
1290 ENTAILMENT 3.84
1295 NEUTRAL 3.5
1296 ENTAILMENT 3.12
1298 ENTAILMENT 3.55
1299 NEUTRAL 4.11
1300 CONTRADICTION 3.61
1301 NEUTRAL 4.44
1304 ENTAILMENT 3.32
1306 NEUTRAL 3.19
1307 ENTAILMENT 3.68
1309 NEUTRAL 3.72
1310 NEUTRAL 3.61
1312 NEUTRAL 4.19
1313 NEUTRAL 2.12
1314 NEUTRAL 2.4
1315 NEUTRAL 2.37
1316 NEUTRAL 2.0
1320 ENTAILMENT 4.44
1322 NEUTRAL 3.13
1323 ENTAILMENT 4.44
1324 NEUTRAL 3.09
1325 NEUTRAL 3.13
1327 ENTAILMENT 3.58
1330 ENTAILMENT 3.41
1331 ENTAILMENT 4.44
1332 CONTRADICTION 4.44
1334 ENTAILMENT 4.02
1337 NEUTRAL 3.34
1338 NEUTRAL 4.44
1339 ENTAILMENT 3.34
1340 NEUTRAL 3.54
1343 NEUTRAL 3.81
1347 NEUTRAL 3.61
1348 NEUTRAL 3.94
1349 ENTAILMENT 3.95
1351 NEUTRAL 3.99
1353 NEUTRAL 3.8
1356 NEUTRAL 3.3
1357 NEUTRAL 3.77
1360 ENTAILMENT 3.84
1362 NEUTRAL 3.69
1363 NEUTRAL 3.06
1364 ENTAILMENT 2.78
1366 ENTAILMENT 3.69
1367 ENTAILMENT 3.81
1369 ENTAILMENT 4.02
1370 CONTRADICTION 3.54
1374 CONTRADICTION 3.47
1375 ENTAILMENT 4.13
1377 CONTRADICTION 3.61
1382 ENTAILMENT 3.54
1383 CONTRADICTION 3.14
1391 NEUTRAL 2.82
1392 NEUTRAL 2.43
1393 NEUTRAL 2.82
1394 ENTAILMENT 4.44
1395 NEUTRAL 3.44
1397 NEUTRAL 3.61
1398 ENTAILMENT 3.44
1401 NEUTRAL 3.44
1402 NEUTRAL 4.44
1406 NEUTRAL 3.61
1411 NEUTRAL 3.43
1413 ENTAILMENT 3.54
1416 NEUTRAL 3.5
1418 NEUTRAL 3.34
1420 ENTAILMENT 3.5
1422 NEUTRAL 4.22
1423 ENTAILMENT 4.44
1424 NEUTRAL 3.61
1425 NEUTRAL 2.83
1426 NEUTRAL 2.42
1428 NEUTRAL 2.72
1430 ENTAILMENT 4.44
1433 CONTRADICTION 3.61
1436 NEUTRAL 4.16
1437 CONTRADICTION 3.49
1439 NEUTRAL 3.81
1440 CONTRADICTION 3.61
1441 ENTAILMENT 3.72
1442 ENTAILMENT 3.25
1445 ENTAILMENT 2.98
1447 NEUTRAL 3.25
1449 NEUTRAL 3.19
1450 ENTAILMENT 4.44
1451 NEUTRAL 3.61
1452 NEUTRAL 2.22
1454 NEUTRAL 3.03
1456 NEUTRAL 2.22
1457 NEUTRAL 4.44
1459 NEUTRAL 3.44
1460 NEUTRAL 3.44
1462 NEUTRAL 2.78
1465 NEUTRAL 2.78
1468 ENTAILMENT 4.44
1471 NEUTRAL 1.61
1472 NEUTRAL 2.22
1475 ENTAILMENT 3.36
1477 ENTAILMENT 4.44
1478 CONTRADICTION 3.61
1485 NEUTRAL 3.61
1490 NEUTRAL 3.05
1491 NEUTRAL 2.23
1492 NEUTRAL 3.58
1496 CONTRADICTION 3.61
1497 NEUTRAL 3.69
1500 NEUTRAL 3.61
1502 ENTAILMENT 3.53
1507 NEUTRAL 3.0
1508 ENTAILMENT 2.48
1510 NEUTRAL 2.68
1512 NEUTRAL 4.44
1515 NEUTRAL 2.04
1516 ENTAILMENT 2.16
1518 NEUTRAL 2.02
1520 NEUTRAL 3.76
1522 ENTAILMENT 3.94
1526 NEUTRAL 3.39
1528 NEUTRAL 4.1
1529 ENTAILMENT 4.44
1530 ENTAILMENT 3.33
1533 NEUTRAL 2.24
1537 NEUTRAL 2.24
1539 CONTRADICTION 3.61
1540 ENTAILMENT 3.98
1542 NEUTRAL 3.81
1543 NEUTRAL 3.3
1544 NEUTRAL 3.56
1546 NEUTRAL 3.84
1548 NEUTRAL 3.61
1554 NEUTRAL 2.68
1555 ENTAILMENT 3.37
1556 ENTAILMENT 3.98
1560 ENTAILMENT 3.77
1561 ENTAILMENT 3.69
1562 NEUTRAL 3.14
1564 ENTAILMENT 3.6
1567 NEUTRAL 4.44
1568 NEUTRAL 4.3
1569 ENTAILMENT 3.8
1571 NEUTRAL 3.95
1572 ENTAILMENT 3.45
1577 ENTAILMENT 3.83
1578 NEUTRAL 4.44
1579 CONTRADICTION 4.44
1581 CONTRADICTION 3.61
1583 CONTRADICTION 2.99
1589 NEUTRAL 4.44
1590 ENTAILMENT 3.94
1593 NEUTRAL 3.46
1594 NEUTRAL 2.85
1596 ENTAILMENT 4.44
1597 NEUTRAL 2.9
1598 ENTAILMENT 4.44
1600 NEUTRAL 3.81
1602 NEUTRAL 2.49
1603 ENTAILMENT 2.18
1605 ENTAILMENT 3.31
1611 CONTRADICTION 4.44
1613 NEUTRAL 4.44
1616 NEUTRAL 4.44
1617 ENTAILMENT 4.44
1619 ENTAILMENT 4.44
1620 ENTAILMENT 4.44
1622 NEUTRAL 4.35
1623 NEUTRAL 4.35
1624 ENTAILMENT 3.62
1630 ENTAILMENT 4.44
1633 ENTAILMENT 2.89
1634 CONTRADICTION 2.58
1636 ENTAILMENT 2.76
1637 ENTAILMENT 2.89
1638 NEUTRAL 2.29
1642 NEUTRAL 4.44
1644 CONTRADICTION 3.61
1645 ENTAILMENT 3.33
1654 NEUTRAL 3.61
1656 ENTAILMENT 4.44
1658 ENTAILMENT 4.44
1662 ENTAILMENT 3.77
1664 NEUTRAL 4.31
1665 ENTAILMENT 2.67
1666 NEUTRAL 3.31
1667 ENTAILMENT 4.44
1672 NEUTRAL 2.45
1674 NEUTRAL 2.56
1678 CONTRADICTION 4.44
1679 NEUTRAL 2.86
1681 CONTRADICTION 3.61
1683 ENTAILMENT 4.44
1684 CONTRADICTION 3.61
1685 ENTAILMENT 3.76
1686 ENTAILMENT 3.69
1688 NEUTRAL 3.16
1689 ENTAILMENT 4.44
1692 NEUTRAL 3.14
1693 NEUTRAL 4.02
1695 NEUTRAL 3.5
1696 NEUTRAL 4.44
1698 NEUTRAL 2.98
1699 NEUTRAL 3.92
1701 NEUTRAL 2.41
1704 NEUTRAL 3.94
1709 NEUTRAL 3.31
1710 NEUTRAL 3.31
1713 NEUTRAL 3.61
1717 NEUTRAL 4.26
1718 NEUTRAL 3.54
1720 NEUTRAL 3.54
1722 ENTAILMENT 4.3
1725 ENTAILMENT 4.44
1726 CONTRADICTION 4.44
1727 NEUTRAL 4.44
1728 NEUTRAL 3.75
1730 ENTAILMENT 3.89
1731 ENTAILMENT 3.98
1732 CONTRADICTION 3.33
1734 NEUTRAL 3.37
1735 NEUTRAL 3.16
1737 CONTRADICTION 4.44
1738 NEUTRAL 3.1
1739 NEUTRAL 2.25
1740 NEUTRAL 3.16
1742 NEUTRAL 3.16
1743 NEUTRAL 4.44
1744 CONTRADICTION 3.61
1745 NEUTRAL 4.44
1746 ENTAILMENT 3.69
1748 NEUTRAL 3.26
1749 NEUTRAL 3.26
1750 NEUTRAL 3.69
1752 NEUTRAL 3.45
1758 CONTRADICTION 3.61
1760 NEUTRAL 3.44
1761 ENTAILMENT 3.45
1762 NEUTRAL 3.62
1763 NEUTRAL 3.28
1764 NEUTRAL 4.37
1767 ENTAILMENT 3.59
1768 ENTAILMENT 4.19
1769 CONTRADICTION 4.44
1770 NEUTRAL 4.11
1774 NEUTRAL 4.11
1775 CONTRADICTION 4.02
1778 ENTAILMENT 4.44
1779 ENTAILMENT 3.84
1785 NEUTRAL 3.6
1786 ENTAILMENT 3.12
1788 ENTAILMENT 3.12
1790 NEUTRAL 3.61
1793 NEUTRAL 3.61
1794 NEUTRAL 3.61
1795 NEUTRAL 2.78
1796 NEUTRAL 2.95
1797 NEUTRAL 3.46
1799 CONTRADICTION 3.46
1800 NEUTRAL 4.11
1801 NEUTRAL 3.35
1802 ENTAILMENT 4.44
1803 CONTRADICTION 4.44
1804 ENTAILMENT 4.15
1805 CONTRADICTION 3.61
1806 CONTRADICTION 3.36
1810 NEUTRAL 4.2
1813 NEUTRAL 4.34
1816 NEUTRAL 4.44
1817 CONTRADICTION 3.61
1819 ENTAILMENT 3.47
1821 NEUTRAL 3.01
1824 NEUTRAL 2.89
1826 ENTAILMENT 3.8
1827 NEUTRAL 3.6
1828 ENTAILMENT 4.44
1831 NEUTRAL 3.84
1833 CONTRADICTION 3.55
1834 ENTAILMENT 2.51
1835 NEUTRAL 3.99
1836 NEUTRAL 2.59
1837 NEUTRAL 3.05
1838 ENTAILMENT 3.13
1843 CONTRADICTION 3.61
1845 NEUTRAL 2.39
1848 NEUTRAL 2.23
1850 NEUTRAL 4.05
